;index;transaction_id;description;Amount;category;date;month;customer_id;type;In_or_Out;bank_to;bank_from;transac_prob;description_prob;priority;home_bank;customer_prob;is_scam_transaction;fraud_type;case_id;interbank;day_of_month;weight_bank;weight_priority;weight_category;weight_day;transac_prob_weight;description_prob_weight;customer_prob_weight;prediction;to_investigate;chosen;cash_inv;ext_investigator;net_gain
10;360977;475090;Safeway;49.58;Groceries;2024-12-31;December;10210;spending;paid_out;bank_C;bank_D;0.33;0.29;1;bank_D;0.62;0.0;;;1;31;4.011498757672601e-09;1.4582620672969162e-09;1.7470791163980312e-09;0.0005317143595208686;3.7654921557257843e-10;0.002989264617261522;0.0022805955541301145;0.0058;0.0;-0.0;0.0;0.0;0.0
11;360978;475091;Transfer to Investment Account;506.44;Transfers;2024-12-31;December;10210;spending;paid_out;bank_B;bank_D;0.72;0.31;3;bank_D;0.62;0.0;;;1;31;4.011498757672601e-09;2.1626832798048924e-09;8.76103921326134e-08;0.0005317143595208686;8.215619248856256e-10;0.0031954207977623167;0.0022805955541301145;0.006;0.0;-0.0;0.0;0.0;0.0
12;360979;475092;Credit Card Payment - Visa **** 7890;92.26;Credit Card Payment;2024-12-31;December;10210;spending;paid_out;bank_B;bank_D;0.57;0.26;2;bank_D;0.62;0.0;;;1;31;4.011498757672601e-09;1.948926352415131e-09;4.158424766910558e-09;0.0005317143595208686;6.504031905344536e-10;0.0026800303465103303;0.0022805955541301145;0.0055;0.0;-0.0;0.0;0.0;0.0
13;360980;475094;Boohoo - Trendy Fashion;30.27;Shopping;2024-12-31;December;10220;spending;paid_out;bank_D;bank_E;0.23;0.65;1;bank_E;0.58;0.0;;;1;31;4.461238324197369e-08;1.4582620672969162e-09;0.02643742096421169;0.0005317143595208686;2.624433926717971e-10;0.006700075866275826;0.0021334603570894615;0.0358;1.0;1.0;0.0;0.0;-0.0
14;360981;475095;Coffee Shop - Latte and Croissant;7.42;Dining Out;2024-12-31;December;10220;spending;paid_out;bank_B;bank_E;0.27;0.18;1;bank_E;0.58;0.0;;;1;31;4.461238324197369e-08;1.4582620672969162e-09;3.853158937934411e-09;0.0005317143595208686;3.0808572183210965e-10;0.0018554056245071516;0.0021334603570894615;0.0045;0.0;-0.0;0.0;0.0;0.0
15;360982;475096;Fry's Food Stores;66.93;Groceries;2024-12-31;December;10224;spending;paid_out;bank_B;bank_D;0.38;0.39;1;bank_D;0.52;0.0;;;1;31;4.011498757672601e-09;1.4582620672969162e-09;1.7470791163980312e-09;0.0005317143595208686;4.336021270229691e-10;0.004020045519765495;0.001912757561528483;0.0065;0.0;-0.0;0.0;0.0;0.0
16;360983;475097;Transfer to Emergency Fund;153.11;Transfers;2024-12-31;December;10251;spending;paid_out;bank_D;bank_B;0.59;0.6;2;bank_B;0.49;0.0;;;1;31;3.340206885552361e-09;1.948926352415131e-09;8.76103921326134e-08;0.0005317143595208686;6.732243551146098e-10;0.006184685415023839;0.0018024061637479936;0.0085;0.0;-0.0;0.0;0.0;0.0
17;360984;475098;Hy-Vee;34.02;Groceries;2024-12-31;December;10251;spending;paid_out;bank_B;bank_B;0.39;0.16;1;bank_B;0.49;0.0;;;0;31;3.340206885552361e-09;1.4582620672969162e-09;1.7470791163980312e-09;0.0005317143595208686;4.450127093130472e-10;0.001649249444006357;0.0018024061637479936;0.004;0.0;-0.0;-0.0;-0.0;0.0
18;360985;475100;Fuel Purchase - Gas Station;47.64;Transportation;2024-12-31;December;10251;spending;paid_out;bank_D;bank_B;0.41;0.3;1;bank_B;0.49;0.0;;;1;31;3.340206885552361e-09;1.4582620672969162e-09;6.67111450066398e-09;0.0005317143595208686;4.678338738932034e-10;0.0030923427075119194;0.0018024061637479936;0.0054;0.0;-0.0;0.0;0.0;0.0
19;360986;475101;Credit Card Payment - Mastercard **** 5678;125.2;Credit Card Payment;2024-12-31;December;10251;spending;paid_out;bank_A;bank_B;0.42;0.36;2;bank_B;0.49;0.0;;;1;31;3.340206885552361e-09;1.948926352415131e-09;4.158424766910558e-09;0.0005317143595208686;4.792444561832816e-10;0.003710811249014303;0.0018024061637479936;0.006;0.0;-0.0;0.0;0.0;0.0
20;360987;475102;Grocery Shopping - Supermart;53.72;Groceries;2024-12-31;December;10251;spending;paid_out;bank_A;bank_B;0.58;0.63;1;bank_B;0.49;0.0;;;1;31;3.340206885552361e-09;1.4582620672969162e-09;1.7470791163980312e-09;0.0005317143595208686;6.618137728245317e-10;0.006493919685775031;0.0018024061637479936;0.0088;0.0;-0.0;0.0;0.0;0.0
21;360988;475104;Acme Markets;48.21;Groceries;2024-12-31;December;10251;spending;paid_out;bank_E;bank_B;0.42;0.43;1;bank_B;0.49;0.0;;;1;31;3.340206885552361e-09;1.4582620672969162e-09;1.7470791163980312e-09;0.0005317143595208686;4.792444561832816e-10;0.004432357880767085;0.0018024061637479936;0.0068;0.0;-0.0;0.0;0.0;0.0
22;360989;475105;Transfer to Emergency Fund;199.23;Transfers;2024-12-31;December;10263;spending;paid_out;bank_E;bank_E;0.66;0.21;3;bank_E;0.61;0.0;;;0;31;4.461238324197369e-08;2.1626832798048924e-09;8.76103921326134e-08;0.0005317143595208686;7.530984311451569e-10;0.0021646398952583435;0.002243811754869951;0.0049;0.0;-0.0;-0.0;-0.0;0.0
23;360990;475106;Transfer to Vacation Fund;350.14;Transfers;2024-12-31;December;10263;spending;paid_out;bank_D;bank_E;0.51;0.21;3;bank_E;0.61;0.0;;;1;31;4.461238324197369e-08;2.1626832798048924e-09;8.76103921326134e-08;0.0005317143595208686;5.819396967939848e-10;0.0021646398952583435;0.002243811754869951;0.0049;0.0;-0.0;0.0;0.0;0.0
24;360991;475108;IGA;35.17;Groceries;2024-12-31;December;10388;spending;paid_out;bank_C;bank_B;0.34;0.52;1;bank_B;0.3;0.0;;;1;31;3.340206885552361e-09;1.4582620672969162e-09;1.7470791163980312e-09;0.0005317143595208686;3.8795979786265656e-10;0.005360060693020661;0.0011035139778048939;0.007;0.0;-0.0;0.0;0.0;0.0
25;360992;475109;Fuel Purchase - Gas Station;42.97;Transportation;2024-12-31;December;10388;spending;paid_out;bank_C;bank_B;0.23;0.24;1;bank_B;0.3;0.0;;;1;31;3.340206885552361e-09;1.4582620672969162e-09;6.67111450066398e-09;0.0005317143595208686;2.624433926717971e-10;0.0024738741660095356;0.0011035139778048939;0.0041;0.0;-0.0;0.0;0.0;0.0
26;360993;475111;Personal care shopping at Rituals ;35.68;Personal care;2024-12-31;December;10388;spending;paid_out;bank_C;bank_B;0.12;0.68;1;bank_B;0.3;0.0;;;1;31;3.340206885552361e-09;1.4582620672969162e-09;3.346816383700704e-08;0.0005317143595208686;1.369269874809376e-10;0.007009310137027019;0.0011035139778048939;0.0086;0.0;-0.0;0.0;0.0;0.0
27;360994;475114;Fast Food - Lunch Combo;11.66;Dining Out;2024-12-31;December;10415;spending;paid_out;bank_E;bank_E;0.22;0.68;1;bank_E;0.74;0.0;;;0;31;4.461238324197369e-08;1.4582620672969162e-09;3.853158937934411e-09;0.0005317143595208686;2.5103281038171895e-10;0.007009310137027019;0.002722001145252072;0.0103;0.0;-0.0;-0.0;-0.0;0.0
28;360995;475115;Credit Card Payment - American Express **** 5678;203.16;Credit Card Payment;2024-12-31;December;10415;spending;paid_out;bank_B;bank_E;0.79;0.32;3;bank_E;0.74;0.0;;;1;31;4.461238324197369e-08;2.1626832798048924e-09;4.158424766910558e-09;0.0005317143595208686;9.014360009161726e-10;0.003298498888012714;0.002722001145252072;0.0066;0.0;-0.0;0.0;0.0;0.0
29;360996;475116;Save Mart Supermarkets;47.21;Groceries;2024-12-31;December;10418;spending;paid_out;bank_C;bank_A;0.36;0.37;1;bank_A;0.33;0.0;;;1;31;1.5635019273921968e-09;1.4582620672969162e-09;1.7470791163980312e-09;0.0005317143595208686;4.107809624428128e-10;0.0038138893392647005;0.0012138653755853835;0.0056;0.0;-0.0;0.0;0.0;0.0
30;360997;475118;Shopping at Superdrug ;8.32;Personal care;2024-12-31;December;10422;spending;paid_out;bank_A;bank_E;0.27;0.31;1;bank_E;0.41;0.0;;;1;31;4.461238324197369e-08;1.4582620672969162e-09;3.346816383700704e-08;0.0005317143595208686;3.0808572183210965e-10;0.0031954207977623167;0.0015081357696666883;0.0052;0.0;-0.0;0.0;0.0;0.0
31;360998;475119;Target - Back-to-School Shopping;50.72;Shopping;2024-12-31;December;10422;spending;paid_out;bank_D;bank_E;0.35;0.51;1;bank_E;0.41;0.0;;;1;31;4.461238324197369e-08;1.4582620672969162e-09;0.02643742096421169;0.0005317143595208686;3.9937038015273463e-10;0.005256982602770264;0.0015081357696666883;0.0337;1.0;1.0;0.0;0.0;-0.0
32;360999;475120;Forever 21 - Activewear;31.31;Shopping;2024-12-31;December;10423;spending;paid_out;bank_A;bank_B;0.37;0.63;1;bank_B;0.26;0.0;;;1;31;3.340206885552361e-09;1.4582620672969162e-09;0.02643742096421169;0.0005317143595208686;4.2219154473289094e-10;0.006493919685775031;0.0009563787807642415;0.0344;1.0;1.0;0.0;0.0;-0.0
33;361000;475121;Grocery Shopping - Supermart;56.29;Groceries;2024-12-31;December;10423;spending;paid_out;bank_C;bank_B;0.32;0.64;1;bank_B;0.26;0.0;;;1;31;3.340206885552361e-09;1.4582620672969162e-09;1.7470791163980312e-09;0.0005317143595208686;3.651386332825003e-10;0.006596997776025428;0.0009563787807642415;0.0081;0.0;-0.0;0.0;0.0;0.0
34;361001;475122;Coffee Shop - Afternoon Pick-Me-Up;7.28;Dining Out;2024-12-31;December;10423;spending;paid_out;bank_E;bank_B;0.19;0.17;1;bank_B;0.26;0.0;;;1;31;3.340206885552361e-09;1.4582620672969162e-09;3.853158937934411e-09;0.0005317143595208686;2.1680106351148454e-10;0.0017523275342567546;0.0009563787807642415;0.0032;0.0;-0.0;0.0;0.0;0.0
35;361002;475123;Credit Card Payment - Discover **** 9012;134.92;Credit Card Payment;2024-12-31;December;10423;spending;paid_out;bank_A;bank_B;0.42;0.13;2;bank_B;0.26;0.0;;;1;31;3.340206885552361e-09;1.948926352415131e-09;4.158424766910558e-09;0.0005317143595208686;4.792444561832816e-10;0.0013400151732551652;0.0009563787807642415;0.0028;0.0;-0.0;0.0;0.0;0.0
36;361003;475126;Transfer to Investment Account;401.28;Transfers;2024-12-31;December;10485;spending;paid_out;bank_D;bank_E;0.51;0.3;3;bank_E;0.53;0.0;;;1;31;4.461238324197369e-08;2.1626832798048924e-09;8.76103921326134e-08;0.0005317143595208686;5.819396967939848e-10;0.0030923427075119194;0.0019495413607886463;0.0056;0.0;-0.0;0.0;0.0;0.0
37;361004;475127;Ralphs;35.92;Groceries;2024-12-31;December;10494;spending;paid_out;bank_D;bank_B;0.24;0.23;1;bank_B;0.43;0.0;;;1;31;3.340206885552361e-09;1.4582620672969162e-09;1.7470791163980312e-09;0.0005317143595208686;2.738539749618752e-10;0.002370796075759138;0.0015817033681870148;0.0045;0.0;-0.0;0.0;0.0;0.0
38;361005;475128;Online Retailer - Electronics Purchase;300.8;Online Shopping;2024-12-31;December;10494;spending;paid_out;bank_A;bank_B;0.64;0.57;3;bank_B;0.43;0.0;;;1;31;3.340206885552361e-09;2.1626832798048924e-09;4.974510226048939e-09;0.0005317143595208686;7.302772665650006e-10;0.005875451144272646;0.0015817033681870148;0.008;0.0;-0.0;0.0;0.0;0.0
39;361006;475129;Online Shopping - Electronics;154.49;Online Shopping;2024-12-31;December;10494;spending;paid_out;bank_E;bank_B;0.67;0.41;2;bank_B;0.43;0.0;;;1;31;3.340206885552361e-09;1.948926352415131e-09;4.974510226048939e-09;0.0005317143595208686;7.64509013435235e-10;0.00422620170026629;0.0015817033681870148;0.0063;0.0;-0.0;0.0;0.0;0.0
40;361007;475131;Neonatology - Newborn Care;136.43;Healthcare;2024-12-31;December;10498;spending;paid_out;bank_E;bank_C;0.44;0.22;2;bank_C;0.24;0.0;;;1;31;2.77250156908173e-09;1.948926352415131e-09;0.0034360632906041853;0.0005317143595208686;5.020656207634379e-10;0.002267717985508741;0.0008828111822439152;0.0071;0.0;-0.0;0.0;0.0;0.0
41;361008;475132;Fuel Purchase - Gas Station;46.44;Transportation;2024-12-31;December;10498;spending;paid_out;bank_E;bank_C;0.11;0.4;1;bank_C;0.24;0.0;;;1;31;2.77250156908173e-09;1.4582620672969162e-09;6.67111450066398e-09;0.0005317143595208686;1.2551640519085948e-10;0.004123123610015893;0.0008828111822439152;0.0055;0.0;-0.0;0.0;0.0;0.0
42;361009;475133;Restaurant Dinner - Date Night;92.2;Dining Out;2024-12-31;December;10499;spending;paid_out;bank_E;bank_B;0.59;0.57;2;bank_B;0.49;0.0;;;1;31;3.340206885552361e-09;1.948926352415131e-09;3.853158937934411e-09;0.0005317143595208686;6.732243551146098e-10;0.005875451144272646;0.0018024061637479936;0.0082;0.0;-0.0;0.0;0.0;0.0
43;361010;475135;Tesco;50.39;Groceries;2024-12-31;December;10512;spending;paid_out;bank_A;bank_A;0.36;0.59;1;bank_A;0.6;0.0;;;0;31;1.5635019273921968e-09;1.4582620672969162e-09;1.7470791163980312e-09;0.0005317143595208686;4.107809624428128e-10;0.006081607324773442;0.0022070279556097878;0.0088;0.0;-0.0;-0.0;-0.0;0.0
44;361011;475137;Shopping at Boots ;9.87;Personal care;2024-12-31;December;10518;spending;paid_out;bank_E;bank_C;0.2;0.44;1;bank_C;0.38;0.0;;;1;31;2.77250156908173e-09;1.4582620672969162e-09;3.346816383700704e-08;0.0005317143595208686;2.282116458015627e-10;0.004535435971017482;0.0013977843718861991;0.0065;0.0;-0.0;0.0;0.0;0.0
45;361012;475138;Transfer to Investment Account;401.4;Transfers;2024-12-31;December;10524;spending;paid_out;bank_A;bank_A;0.56;0.16;3;bank_A;0.44;0.0;;;0;31;1.5635019273921968e-09;2.1626832798048924e-09;8.76103921326134e-08;0.0005317143595208686;6.389926082443756e-10;0.001649249444006357;0.001618487167447178;0.0038;0.0;-0.0;-0.0;-0.0;0.0
46;361013;475139;Grocery Store - Household Supplies;60.25;Groceries;2024-12-31;December;10524;spending;paid_out;bank_A;bank_A;0.34;0.19;1;bank_A;0.44;0.0;;;0;31;1.5635019273921968e-09;1.4582620672969162e-09;1.7470791163980312e-09;0.0005317143595208686;3.8795979786265656e-10;0.001958483714757549;0.001618487167447178;0.0041;0.0;-0.0;-0.0;-0.0;0.0
47;361014;475140;Home Improvement Store - DIY Supplies;82.07;Home Improvement;2024-12-31;December;10524;spending;paid_out;bank_E;bank_A;0.42;0.54;2;bank_A;0.44;0.0;;;1;31;1.5635019273921968e-09;1.948926352415131e-09;1.1059120955511165e-08;0.0005317143595208686;4.792444561832816e-10;0.005566216873521455;0.001618487167447178;0.0077;0.0;-0.0;0.0;0.0;0.0
48;361015;475141;C&A - Budget Clothing;35.53;Shopping;2024-12-31;December;10524;spending;paid_out;bank_C;bank_A;0.2;0.36;1;bank_A;0.44;0.0;;;1;31;1.5635019273921968e-09;1.4582620672969162e-09;0.02643742096421169;0.0005317143595208686;2.282116458015627e-10;0.003710811249014303;0.001618487167447178;0.0323;1.0;-0.0;0.0;0.0;0.0
49;361016;475142;Meijer;49.12;Groceries;2024-12-31;December;10524;spending;paid_out;bank_B;bank_A;0.55;0.51;1;bank_A;0.44;0.0;;;1;31;1.5635019273921968e-09;1.4582620672969162e-09;1.7470791163980312e-09;0.0005317143595208686;6.275820259542974e-10;0.005256982602770264;0.001618487167447178;0.0074;0.0;-0.0;0.0;0.0;0.0
50;361017;475144;Transfer to Savings Account - Rainy Day Fund;311.96;Transfers;2024-12-31;December;10524;spending;paid_out;bank_A;bank_A;0.74;0.52;3;bank_A;0.44;0.0;;;0;31;1.5635019273921968e-09;2.1626832798048924e-09;8.76103921326134e-08;0.0005317143595208686;8.443830894657819e-10;0.005360060693020661;0.001618487167447178;0.0075;0.0;-0.0;-0.0;-0.0;0.0
51;361018;475145;Credit Card Payment - Discover **** 9012;110.6;Credit Card Payment;2024-12-31;December;10528;spending;paid_out;bank_C;bank_C;0.57;0.24;2;bank_C;0.48;0.0;;;0;31;2.77250156908173e-09;1.948926352415131e-09;4.158424766910558e-09;0.0005317143595208686;6.504031905344536e-10;0.0024738741660095356;0.0017656223644878304;0.0048;0.0;-0.0;-0.0;-0.0;0.0
52;361019;475147;Woolworths;48.77;Groceries;2024-12-31;December;10532;spending;paid_out;bank_B;bank_A;0.43;0.34;1;bank_A;0.37;0.0;;;1;31;1.5635019273921968e-09;1.4582620672969162e-09;1.7470791163980312e-09;0.0005317143595208686;4.906550384733598e-10;0.0035046550685135093;0.001361000572626036;0.0054;0.0;-0.0;0.0;0.0;0.0
53;361020;475148;Smart & Final;37.92;Groceries;2024-12-31;December;10532;spending;paid_out;bank_E;bank_A;0.19;0.13;1;bank_A;0.37;0.0;;;1;31;1.5635019273921968e-09;1.4582620672969162e-09;1.7470791163980312e-09;0.0005317143595208686;2.1680106351148454e-10;0.0013400151732551652;0.001361000572626036;0.0032;0.0;-0.0;0.0;0.0;0.0
54;361021;475150;Online Retailer - Tech Gadgets;248.52;Online Shopping;2024-12-31;December;10570;spending;paid_out;bank_B;bank_A;0.7;0.51;3;bank_A;0.68;0.0;;;1;31;1.5635019273921968e-09;2.1626832798048924e-09;4.974510226048939e-09;0.0005317143595208686;7.987407603054693e-10;0.005256982602770264;0.0025012983496910932;0.0083;0.0;-0.0;0.0;0.0;0.0
55;361022;475151;Home Improvement - Home Depot;96.58;Home Improvement;2024-12-31;December;10570;spending;paid_out;bank_A;bank_A;0.67;0.35;2;bank_A;0.68;0.0;;;0;31;1.5635019273921968e-09;1.948926352415131e-09;1.1059120955511165e-08;0.0005317143595208686;7.64509013435235e-10;0.003607733158763906;0.0025012983496910932;0.0066;0.0;-0.0;-0.0;-0.0;0.0
56;361023;475152;Forever 21 - Fashion Shopping;35.88;Shopping;2024-12-31;December;10585;spending;paid_out;bank_E;bank_B;0.34;0.41;1;bank_B;0.42;0.0;;;1;31;3.340206885552361e-09;1.4582620672969162e-09;0.02643742096421169;0.0005317143595208686;3.8795979786265656e-10;0.00422620170026629;0.0015449195689268517;0.0327;1.0;1.0;0.0;0.0;-0.0
57;361024;475153;Transfer to Savings Account - Rainy Day Fund;294.71;Transfers;2024-12-31;December;10585;spending;paid_out;bank_B;bank_B;0.55;0.25;3;bank_B;0.42;0.0;;;0;31;3.340206885552361e-09;2.1626832798048924e-09;8.76103921326134e-08;0.0005317143595208686;6.275820259542974e-10;0.002576952256259933;0.0015449195689268517;0.0047;0.0;-0.0;-0.0;-0.0;0.0
58;361025;475154;Credit Card Payment - American Express **** 6789;198.04;Credit Card Payment;2024-12-31;December;10638;spending;paid_out;bank_A;bank_B;0.74;0.16;3;bank_B;0.44;0.0;;;1;31;3.340206885552361e-09;2.1626832798048924e-09;4.158424766910558e-09;0.0005317143595208686;8.443830894657819e-10;0.001649249444006357;0.001618487167447178;0.0038;0.0;-0.0;0.0;0.0;0.0
59;361026;475156;Gas Station - Fuel Purchase;39.1;Transportation;2024-12-31;December;10638;spending;paid_out;bank_A;bank_B;0.4;0.48;1;bank_B;0.44;0.0;;;1;31;3.340206885552361e-09;1.4582620672969162e-09;6.67111450066398e-09;0.0005317143595208686;4.564232916031254e-10;0.004947748332019071;0.001618487167447178;0.0071;0.0;-0.0;0.0;0.0;0.0
60;361027;475157;Gas Station - Fuel Purchase;44.44;Transportation;2024-12-31;December;10662;spending;paid_out;bank_B;bank_E;0.35;0.16;1;bank_E;0.46;0.0;;;1;31;4.461238324197369e-08;1.4582620672969162e-09;6.67111450066398e-09;0.0005317143595208686;3.9937038015273463e-10;0.001649249444006357;0.0016920547659675042;0.0039;0.0;-0.0;0.0;0.0;0.0
61;361028;475158;Gas Station - Fuel Purchase;45.39;Transportation;2024-12-31;December;10662;spending;paid_out;bank_D;bank_E;0.58;0.36;1;bank_E;0.46;0.0;;;1;31;4.461238324197369e-08;1.4582620672969162e-09;6.67111450066398e-09;0.0005317143595208686;6.618137728245317e-10;0.003710811249014303;0.0016920547659675042;0.0059;0.0;-0.0;0.0;0.0;0.0
62;361029;475159;Restaurant Lunch - Business Meeting;73.12;Dining Out;2024-12-31;December;10672;spending;paid_out;bank_A;bank_B;0.43;0.42;1;bank_B;0.71;0.0;;;1;31;3.340206885552361e-09;1.4582620672969162e-09;3.853158937934411e-09;0.0005317143595208686;4.906550384733598e-10;0.004329279790516687;0.002611649747471582;0.0075;0.0;-0.0;0.0;0.0;0.0
63;361030;475160;Fast Food - Lunch on the Go;11.64;Dining Out;2024-12-31;December;10672;spending;paid_out;bank_D;bank_B;0.37;0.39;1;bank_B;0.71;0.0;;;1;31;3.340206885552361e-09;1.4582620672969162e-09;3.853158937934411e-09;0.0005317143595208686;4.2219154473289094e-10;0.004020045519765495;0.002611649747471582;0.0072;0.0;-0.0;0.0;0.0;0.0
64;361031;475162;Online Retailer - Outdoor Gear;183.86;Online Shopping;2024-12-31;December;10672;spending;paid_out;bank_E;bank_B;0.65;0.26;3;bank_B;0.71;0.0;;;1;31;3.340206885552361e-09;2.1626832798048924e-09;4.974510226048939e-09;0.0005317143595208686;7.416878488550787e-10;0.0026800303465103303;0.002611649747471582;0.0058;0.0;-0.0;0.0;0.0;0.0
65;361032;475164;Electronics Store Purchase - Tech Haven;207.88;Electronics;2024-12-31;December;10697;spending;paid_out;Intrnl;bank_C;0.67;0.6;4;bank_C;0.48;0.0;;;0;31;2.77250156908173e-09;0.021451392157485955;0.048274458677350085;0.0005317143595208686;7.64509013435235e-10;0.006184685415023839;0.0017656223644878304;0.0782;1.0;1.0;0.0;0.0;-0.0
66;361033;475165;Fast Food - Lunch on the Go;15.61;Dining Out;2024-12-31;December;10697;spending;paid_out;bank_C;bank_C;0.21;0.53;1;bank_C;0.48;0.0;;;0;31;2.77250156908173e-09;1.4582620672969162e-09;3.853158937934411e-09;0.0005317143595208686;2.396222280916408e-10;0.0054631387832710585;0.0017656223644878304;0.0078;0.0;-0.0;-0.0;-0.0;0.0
67;361034;475166;Restaurant Lunch - Business Meeting;76.26;Dining Out;2024-12-31;December;10726;spending;paid_out;bank_E;bank_C;0.48;0.19;1;bank_C;0.64;0.0;;;1;31;2.77250156908173e-09;1.4582620672969162e-09;3.853158937934411e-09;0.0005317143595208686;5.477079499237504e-10;0.001958483714757549;0.0023541631526504407;0.0048;0.0;-0.0;0.0;0.0;0.0
68;361035;475167;Wegmans;60.33;Groceries;2024-12-31;December;10728;spending;paid_out;bank_E;bank_B;0.44;0.65;1;bank_B;0.49;0.0;;;1;31;3.340206885552361e-09;1.4582620672969162e-09;1.7470791163980312e-09;0.0005317143595208686;5.020656207634379e-10;0.006700075866275826;0.0018024061637479936;0.009;0.0;-0.0;0.0;0.0;0.0
69;361036;475168;Transfer to Vacation Fund;350.43;Transfers;2024-12-31;December;10730;spending;paid_out;bank_D;bank_C;0.64;0.57;3;bank_C;0.45;0.0;;;1;31;2.77250156908173e-09;2.1626832798048924e-09;8.76103921326134e-08;0.0005317143595208686;7.302772665650006e-10;0.005875451144272646;0.001655270966707341;0.0081;0.0;-0.0;0.0;0.0;0.0
70;361037;475171;Transfer to Investment Account;442.65;Transfers;2024-12-31;December;10850;spending;paid_out;bank_E;bank_C;0.5;0.18;3;bank_C;0.65;0.0;;;1;31;2.77250156908173e-09;2.1626832798048924e-09;8.76103921326134e-08;0.0005317143595208686;5.705291145039067e-10;0.0018554056245071516;0.002390946951910604;0.0048;0.0;-0.0;0.0;0.0;0.0
